what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329417935798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1329417940285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329417943988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329417949969
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329417987606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329417990005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329417996045
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.select.next",1329418015693
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.select.next",1329418015876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329418017907
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418020815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418025729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329418041578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418043810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418048087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329418060667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418062655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418068007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329418079377
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329418081101
